radius depth density Vs Qmu
1.1123e+06 5.2587e+06 1.2819e+04 3.5322e+03 1.0400e+02
1.1191e+06 5.2519e+06 1.2816e+04 3.5306e+03 1.0400e+02
1.1260e+06 5.2450e+06 1.2812e+04 3.5289e+03 1.0400e+02
1.1328e+06 5.2382e+06 1.2809e+04 3.5272e+03 1.0400e+02
1.1396e+06 5.2314e+06 1.2806e+04 3.5255e+03 1.0400e+02
1.1464e+06 5.2246e+06 1.2802e+04 3.5238e+03 1.0400e+02
1.1533e+06 5.2177e+06 1.2799e+04 3.5221e+03 1.0400e+02
1.1601e+06 5.2109e+06 1.2795e+04 3.5203e+03 1.0400e+02
1.1669e+06 5.2041e+06 1.2792e+04 3.5186e+03 1.0400e+02
1.1737e+06 5.1973e+06 1.2789e+04 3.5168e+03 1.0400e+02
1.1805e+06 5.1905e+06 1.2785e+04 3.5151e+03 1.0400e+02
1.1874e+06 5.1836e+06 1.2781e+04 3.5133e+03 1.0400e+02
1.1942e+06 5.1768e+06 1.2778e+04 3.5115e+03 1.0400e+02
1.2010e+06 5.1700e+06 1.2774e+04 3.5098e+03 1.0400e+02
1.2078e+06 5.1632e+06 1.2771e+04 3.5079e+03 1.0400e+02
1.2147e+06 5.1563e+06 1.2767e+04 3.5061e+03 1.0400e+02
1.2215e+06 5.1495e+06 1.2764e+04 3.5043e+03 1.0400e+02
1.2215e+06 5.1495e+06 1.2166e+04 0.0000e+00 0.0000e+00
1.2342e+06 5.1368e+06 1.2160e+04 0.0000e+00 0.0000e+00
1.2470e+06 5.1240e+06 1.2153e+04 0.0000e+00 0.0000e+00
1.2598e+06 5.1112e+06 1.2146e+04 0.0000e+00 0.0000e+00
1.2725e+06 5.0985e+06 1.2140e+04 0.0000e+00 0.0000e+00
1.2853e+06 5.0857e+06 1.2133e+04 0.0000e+00 0.0000e+00
1.2980e+06 5.0730e+06 1.2126e+04 0.0000e+00 0.0000e+00
1.3108e+06 5.0602e+06 1.2119e+04 0.0000e+00 0.0000e+00
1.3236e+06 5.0474e+06 1.2112e+04 0.0000e+00 0.0000e+00
1.3363e+06 5.0347e+06 1.2105e+04 0.0000e+00 0.0000e+00
1.3491e+06 5.0219e+06 1.2098e+04 0.0000e+00 0.0000e+00
1.3618e+06 5.0092e+06 1.2091e+04 0.0000e+00 0.0000e+00
1.3746e+06 4.9964e+06 1.2084e+04 0.0000e+00 0.0000e+00
1.3874e+06 4.9836e+06 1.2076e+04 0.0000e+00 0.0000e+00
1.4001e+06 4.9709e+06 1.2069e+04 0.0000e+00 0.0000e+00
1.4129e+06 4.9581e+06 1.2062e+04 0.0000e+00 0.0000e+00
1.4256e+06 4.9454e+06 1.2054e+04 0.0000e+00 0.0000e+00
1.4384e+06 4.9326e+06 1.2047e+04 0.0000e+00 0.0000e+00
1.4512e+06 4.9198e+06 1.2039e+04 0.0000e+00 0.0000e+00
1.4639e+06 4.9071e+06 1.2032e+04 0.0000e+00 0.0000e+00
1.4767e+06 4.8943e+06 1.2024e+04 0.0000e+00 0.0000e+00
1.4894e+06 4.8816e+06 1.2016e+04 0.0000e+00 0.0000e+00
1.5022e+06 4.8688e+06 1.2009e+04 0.0000e+00 0.0000e+00
1.5150e+06 4.8560e+06 1.2001e+04 0.0000e+00 0.0000e+00
1.5277e+06 4.8433e+06 1.1993e+04 0.0000e+00 0.0000e+00
1.5405e+06 4.8305e+06 1.1985e+04 0.0000e+00 0.0000e+00
1.5532e+06 4.8178e+06 1.1977e+04 0.0000e+00 0.0000e+00
1.5660e+06 4.8050e+06 1.1969e+04 0.0000e+00 0.0000e+00
1.5788e+06 4.7922e+06 1.1961e+04 0.0000e+00 0.0000e+00
1.5915e+06 4.7795e+06 1.1952e+04 0.0000e+00 0.0000e+00
1.6043e+06 4.7667e+06 1.1944e+04 0.0000e+00 0.0000e+00
1.6170e+06 4.7540e+06 1.1936e+04 0.0000e+00 0.0000e+00
1.6298e+06 4.7412e+06 1.1927e+04 0.0000e+00 0.0000e+00
1.6426e+06 4.7284e+06 1.1919e+04 0.0000e+00 0.0000e+00
1.6553e+06 4.7157e+06 1.1910e+04 0.0000e+00 0.0000e+00
1.6681e+06 4.7029e+06 1.1902e+04 0.0000e+00 0.0000e+00
1.6808e+06 4.6902e+06 1.1893e+04 0.0000e+00 0.0000e+00
1.6936e+06 4.6774e+06 1.1884e+04 0.0000e+00 0.0000e+00
1.7064e+06 4.6646e+06 1.1876e+04 0.0000e+00 0.0000e+00
1.7191e+06 4.6519e+06 1.1867e+04 0.0000e+00 0.0000e+00
1.7319e+06 4.6391e+06 1.1858e+04 0.0000e+00 0.0000e+00
1.7446e+06 4.6264e+06 1.1849e+04 0.0000e+00 0.0000e+00
1.7574e+06 4.6136e+06 1.1840e+04 0.0000e+00 0.0000e+00
1.7702e+06 4.6008e+06 1.1831e+04 0.0000e+00 0.0000e+00
1.7829e+06 4.5881e+06 1.1821e+04 0.0000e+00 0.0000e+00
1.7957e+06 4.5753e+06 1.1812e+04 0.0000e+00 0.0000e+00
1.8084e+06 4.5626e+06 1.1803e+04 0.0000e+00 0.0000e+00
1.8212e+06 4.5498e+06 1.1793e+04 0.0000e+00 0.0000e+00
1.8340e+06 4.5370e+06 1.1784e+04 0.0000e+00 0.0000e+00
1.8467e+06 4.5243e+06 1.1774e+04 0.0000e+00 0.0000e+00
1.8595e+06 4.5115e+06 1.1765e+04 0.0000e+00 0.0000e+00
1.8722e+06 4.4988e+06 1.1755e+04 0.0000e+00 0.0000e+00
1.8850e+06 4.4860e+06 1.1746e+04 0.0000e+00 0.0000e+00
1.8978e+06 4.4732e+06 1.1736e+04 0.0000e+00 0.0000e+00
1.9105e+06 4.4605e+06 1.1726e+04 0.0000e+00 0.0000e+00
1.9233e+06 4.4477e+06 1.1716e+04 0.0000e+00 0.0000e+00
1.9360e+06 4.4350e+06 1.1706e+04 0.0000e+00 0.0000e+00
1.9488e+06 4.4222e+06 1.1696e+04 0.0000e+00 0.0000e+00
1.9616e+06 4.4094e+06 1.1686e+04 0.0000e+00 0.0000e+00
1.9743e+06 4.3967e+06 1.1676e+04 0.0000e+00 0.0000e+00
1.9871e+06 4.3839e+06 1.1665e+04 0.0000e+00 0.0000e+00
1.9998e+06 4.3712e+06 1.1655e+04 0.0000e+00 0.0000e+00
2.0126e+06 4.3584e+06 1.1644e+04 0.0000e+00 0.0000e+00
2.0254e+06 4.3456e+06 1.1634e+04 0.0000e+00 0.0000e+00
2.0381e+06 4.3329e+06 1.1623e+04 0.0000e+00 0.0000e+00
2.0509e+06 4.3201e+06 1.1613e+04 0.0000e+00 0.0000e+00
2.0636e+06 4.3074e+06 1.1602e+04 0.0000e+00 0.0000e+00
2.0764e+06 4.2946e+06 1.1591e+04 0.0000e+00 0.0000e+00
2.0892e+06 4.2818e+06 1.1580e+04 0.0000e+00 0.0000e+00
2.1019e+06 4.2691e+06 1.1570e+04 0.0000e+00 0.0000e+00
2.1147e+06 4.2563e+06 1.1559e+04 0.0000e+00 0.0000e+00
2.1274e+06 4.2436e+06 1.1547e+04 0.0000e+00 0.0000e+00
2.1402e+06 4.2308e+06 1.1536e+04 0.0000e+00 0.0000e+00
2.1529e+06 4.2181e+06 1.1525e+04 0.0000e+00 0.0000e+00
2.1657e+06 4.2053e+06 1.1514e+04 0.0000e+00 0.0000e+00
2.1785e+06 4.1925e+06 1.1502e+04 0.0000e+00 0.0000e+00
2.1912e+06 4.1798e+06 1.1491e+04 0.0000e+00 0.0000e+00
2.2040e+06 4.1670e+06 1.1480e+04 0.0000e+00 0.0000e+00
2.2167e+06 4.1543e+06 1.1468e+04 0.0000e+00 0.0000e+00
2.2295e+06 4.1415e+06 1.1456e+04 0.0000e+00 0.0000e+00
2.2423e+06 4.1287e+06 1.1444e+04 0.0000e+00 0.0000e+00
2.2550e+06 4.1160e+06 1.1433e+04 0.0000e+00 0.0000e+00
2.2678e+06 4.1032e+06 1.1421e+04 0.0000e+00 0.0000e+00
2.2805e+06 4.0905e+06 1.1409e+04 0.0000e+00 0.0000e+00
2.2933e+06 4.0777e+06 1.1397e+04 0.0000e+00 0.0000e+00
2.3061e+06 4.0649e+06 1.1385e+04 0.0000e+00 0.0000e+00
2.3188e+06 4.0522e+06 1.1372e+04 0.0000e+00 0.0000e+00
2.3316e+06 4.0394e+06 1.1360e+04 0.0000e+00 0.0000e+00
2.3443e+06 4.0267e+06 1.1348e+04 0.0000e+00 0.0000e+00
2.3571e+06 4.0139e+06 1.1335e+04 0.0000e+00 0.0000e+00
2.3699e+06 4.0011e+06 1.1323e+04 0.0000e+00 0.0000e+00
2.3826e+06 3.9884e+06 1.1310e+04 0.0000e+00 0.0000e+00
2.3954e+06 3.9756e+06 1.1298e+04 0.0000e+00 0.0000e+00
2.4081e+06 3.9629e+06 1.1285e+04 0.0000e+00 0.0000e+00
2.4209e+06 3.9501e+06 1.1272e+04 0.0000e+00 0.0000e+00
2.4337e+06 3.9373e+06 1.1259e+04 0.0000e+00 0.0000e+00
2.4464e+06 3.9246e+06 1.1246e+04 0.0000e+00 0.0000e+00
2.4592e+06 3.9118e+06 1.1233e+04 0.0000e+00 0.0000e+00
2.4719e+06 3.8991e+06 1.1220e+04 0.0000e+00 0.0000e+00
2.4847e+06 3.8863e+06 1.1207e+04 0.0000e+00 0.0000e+00
2.4975e+06 3.8735e+06 1.1193e+04 0.0000e+00 0.0000e+00
2.5102e+06 3.8608e+06 1.1180e+04 0.0000e+00 0.0000e+00
2.5230e+06 3.8480e+06 1.1166e+04 0.0000e+00 0.0000e+00
2.5357e+06 3.8353e+06 1.1153e+04 0.0000e+00 0.0000e+00
2.5485e+06 3.8225e+06 1.1139e+04 0.0000e+00 0.0000e+00
2.5613e+06 3.8097e+06 1.1126e+04 0.0000e+00 0.0000e+00
2.5740e+06 3.7970e+06 1.1112e+04 0.0000e+00 0.0000e+00
2.5868e+06 3.7842e+06 1.1098e+04 0.0000e+00 0.0000e+00
2.5995e+06 3.7715e+06 1.1084e+04 0.0000e+00 0.0000e+00
2.6123e+06 3.7587e+06 1.1070e+04 0.0000e+00 0.0000e+00
2.6251e+06 3.7459e+06 1.1056e+04 0.0000e+00 0.0000e+00
2.6378e+06 3.7332e+06 1.1041e+04 0.0000e+00 0.0000e+00
2.6506e+06 3.7204e+06 1.1027e+04 0.0000e+00 0.0000e+00
2.6633e+06 3.7077e+06 1.1013e+04 0.0000e+00 0.0000e+00
2.6761e+06 3.6949e+06 1.0998e+04 0.0000e+00 0.0000e+00
2.6889e+06 3.6821e+06 1.0984e+04 0.0000e+00 0.0000e+00
2.7016e+06 3.6694e+06 1.0969e+04 0.0000e+00 0.0000e+00
2.7144e+06 3.6566e+06 1.0954e+04 0.0000e+00 0.0000e+00
2.7271e+06 3.6439e+06 1.0940e+04 0.0000e+00 0.0000e+00
2.7399e+06 3.6311e+06 1.0925e+04 0.0000e+00 0.0000e+00
2.7527e+06 3.6183e+06 1.0910e+04 0.0000e+00 0.0000e+00
2.7654e+06 3.6056e+06 1.0895e+04 0.0000e+00 0.0000e+00
2.7782e+06 3.5928e+06 1.0879e+04 0.0000e+00 0.0000e+00
2.7909e+06 3.5801e+06 1.0864e+04 0.0000e+00 0.0000e+00
2.8037e+06 3.5673e+06 1.0849e+04 0.0000e+00 0.0000e+00
2.8165e+06 3.5545e+06 1.0833e+04 0.0000e+00 0.0000e+00
2.8292e+06 3.5418e+06 1.0818e+04 0.0000e+00 0.0000e+00
2.8420e+06 3.5290e+06 1.0802e+04 0.0000e+00 0.0000e+00
2.8547e+06 3.5163e+06 1.0787e+04 0.0000e+00 0.0000e+00
2.8675e+06 3.5035e+06 1.0771e+04 0.0000e+00 0.0000e+00
2.8803e+06 3.4907e+06 1.0755e+04 0.0000e+00 0.0000e+00
2.8930e+06 3.4780e+06 1.0739e+04 0.0000e+00 0.0000e+00
2.9058e+06 3.4652e+06 1.0723e+04 0.0000e+00 0.0000e+00
2.9185e+06 3.4525e+06 1.0707e+04 0.0000e+00 0.0000e+00
2.9313e+06 3.4397e+06 1.0690e+04 0.0000e+00 0.0000e+00
2.9440e+06 3.4270e+06 1.0674e+04 0.0000e+00 0.0000e+00
2.9568e+06 3.4142e+06 1.0658e+04 0.0000e+00 0.0000e+00
2.9696e+06 3.4014e+06 1.0641e+04 0.0000e+00 0.0000e+00
2.9823e+06 3.3887e+06 1.0625e+04 0.0000e+00 0.0000e+00
2.9951e+06 3.3759e+06 1.0608e+04 0.0000e+00 0.0000e+00
3.0078e+06 3.3632e+06 1.0591e+04 0.0000e+00 0.0000e+00
3.0206e+06 3.3504e+06 1.0574e+04 0.0000e+00 0.0000e+00
3.0334e+06 3.3376e+06 1.0557e+04 0.0000e+00 0.0000e+00
